,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salz,Protein,Ballaststoffe,Zucker,Kohlenhydrate,davon gesättigte Fettsäuren,Fett,Brennwert,Eigenschaften,Lieferant,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Hinweis,Kann Spuren enthalten von ,Frischegarantie (mindestens),Ursprungsregion,Lagerung,Natrium,Ursprungsland,Inverkehrbringer,Beschreibung,Size,Delivery days,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Schär anzeigen,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Barilla anzeigen,Abtropfgewicht,Füllmenge,Unser Beitrag für Nachhaltigkeit,4. Anrichten,3. Abschrecken,2. Aufkochen,1. Auspacken,Produktgewicht,Bruttogewicht,FAO-Gebiet Bezeichnung,Drained weight,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Del Monte anzeigen,Bei Raumtemperatur lichtgeschützt aufbewahren. Nach dem Öffnen kühl (max. +7°C) lagern und innerhalb von 2 Tagen aufbrauchen. Mindestens haltbar bis,davon Polyole,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Nestlé anzeigen,Einfach ungesättigte Fettsäuren,Informationen zum Angebot,mehrfach ungesättigte Fettsäuren
0,Märkisches Landbrot demeter Roggenbrot,"5,49€","Ein deftiges Vollkornbrot aus hunder Prozent Roggenvollkornschrot mit leicht malzig-karamelligem Charakter. Das Interessante an diesem Brot mit der kräftigen Kruste und saftigen Krume ist die süßliche Note, die es durch den würzigen Roggen und die lange Backzeit erhält. , Märkisches Landbrot GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56914-markisches-landbrot-markisches-landbrot-demeter-ro/,https://bilder.kolonial.no/local_products/5d9ad358-22fd-4346-8331-9a7427f8150d.jpg?auto=format&fit=max&w=450&s=b0331f883b032133b14be463da5741cb,1.40 g,6.20 g,9 g,0.60 g,40 g,0.20 g,1.10 g,896 kJ / 215 kcal,Bio-Produkt,"Märkisches Landbrot GmbH, Bergiusstraße 36, 12057 Berlin, Deutschland","ROGGEN-Sauerteig** (Lebensmittelwasser, ROGGENVOLLKORNSCHROT**, Sauerteigkulturen*), ROGGENVOLLKORNSCHROT**, ROGGEVOLLKORNSCHROT** gebrüht, Lebensmittelwasser, Steinsalz. Deko: ROGGENVOLLKORNSCHROT**

Getreideanteil: 100% ROGGENVOLLKORNSCHROT**
QUID: 62% ROGGEN**
*aus kontrolliert ökologischer Erzeugung, **aus biodynamischer Erzeugung ",1000 Gramm,täglich,"Brot, Backwaren & Aufstriche",Frisch aus dem Ofen,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Märkisches Landbrot demeter Dinkel hell,"3,69€","Ein leichtes, mildes Bio-Hefebrot mit einer besonders aromatisch krossen Kruste und soften Krume, das sich durch eine lange Teigführung auszeichnet. Dieses Brot eignet sich bestens für süße und herzhafte Aufstriche sowie als Beilage zu Salaten, Suppen oder deftigen Speisen. , Märkisches Landbrot GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56915-markisches-landbrot-markisches-landbrot-demeter-di/,https://bilder.kolonial.no/local_products/d36cd94f-22e4-40a4-9098-f7e4895792b0.jpg?auto=format&fit=max&w=450&s=f2ab9412b172d8be55e106914b09be14,1.40 g,8.40 g,2.90 g,0.50 g,42 g,0.10 g,0.80 g,918 kJ / 220 kcal,Bio-Produkt,"Märkisches Landbrot GmbH, Bergiusstraße 36, 12057 Berlin, Deutschland","DINKELMEHL Typ 630**, Lebensmittelwasser, DINKELMEHL Typ 630** gebrüht, DINKELVOLLKORNSCHROT**, DINKEL-Backferment** [Lebensmittelwasser, DINKELMEHL Typ 630**, Backferment* [Maismehl*, Erbsenmehl*, Blütenhonig*], Honig*], , Hefe*, Steinsalz
Deko: DINKELMEHL Type 630**
Getreideanteile: 90 % DINKELMEHL Typ 630**, 10 % DINKELVOLLKORNSCHROT**
QUID: 80 % DINKEL**
*aus kontrolliert ökologischer Erzeugung, **aus biodynamischer Erzeugung ",375 Gramm,täglich,"Brot, Backwaren & Aufstriche",Frisch aus dem Ofen,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Märkisches Landbrot demeter Möhre-Walnussbrot,"4,99€","Frisch geraspelte Möhre geben diesem sehr saftigen Vollkornbrot seine leicht fruchtige Süße. Ein besonders anspruchsvolles Brot mit weicher Krume, dem Walnüsse und Hirse einen krossen Biss verleihen. Gewälzt in einer reichhaltigen Saatendeko ist es ein rundum gelungenes Kraftpaket. , Märkisches Landbrot GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56916-markisches-landbrot-markisches-landbrot-demeter-mo/,https://bilder.kolonial.no/local_products/dbe36b0d-4c12-4190-9e94-a810159cdcc2.jpg?auto=format&fit=max&w=300&s=54cb410b5bc81842819a4093cb1bd4bd,1.20 g,6.50 g,7.70 g,2 g,34 g,0.40 g,3 g,863 kJ / 206 kcal,Bio-Produkt,"Märkisches Landbrot GmbH, Bergiusstraße 36, 12057 Berlin, Deutschland","ROGGEN-Sauerteig** (Lebensmittelwasser, ROGGENVOLLKORNSCHROT**, Sauerteigkulturen*), WEIZENVOLLKORNSCHROT**, Lebensmittelwasser, frische Möhren**, Hirse* gebrüht, WALNÜSSE* geröstet, Möhrenflocken*, Steinsalz.
Deko: Leinsamen**, Mohn*, SESAM**, Sonnenblumenkerne**, ROGGENFLOCKEN**

Getreideanteil: 60% WEIZENVOLLKORNSCHROT**, 35% ROGGENVOLLKORNSCHROT**, 5% Hirse*
QUID: 18% Möhren**, 2% Walnüsse*
*aus kontrolliert ökologischer Erzeugung, **aus biodynamischer Erzeugung ",750 Gramm,täglich,"Brot, Backwaren & Aufstriche",Frisch aus dem Ofen,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Märkisches Landbrot demeter Uckermarker,"4,99€","Ein freigeschobenes Brot wie aus dem Bilderbuch: die ausgeprägte knusprige Kruste hat im Anschnitt eine wilde Porung. Roggen- und Dinkelmehl aus bio-dynamischem Anbau in der Uckermark sorgen für die samtige Krume mit herzhaft-würzigem Geschmack. , Märkisches Landbrot GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56917-markisches-landbrot-markisches-landbrot-demeter-uc/,https://bilder.kolonial.no/local_products/4045ba8e-4503-47e2-ad7f-ea1c63f98639.jpg?auto=format&fit=max&w=450&s=7aea60359ee2ac803727a41a378c3728,1.30 g,6.30 g,4.50 g,3.30 g,44 g,0.10 g,0.80 g,930 kJ / 222 kcal,Bio-Produkt,"Märkisches Landbrot GmbH, Bergiusstraße 36, 12057 Berlin, Deutschland","ROGGEN-Sauerteig** (ROGGENMEHL Typ 1150**, Lebensmittelwasser, ROGGENVOLLKORNSCHROT**, Sauerteigkulturen*), Lebensmittelwasser, ROGGENMEHL Typ 1150**, DINKELMEHL Typ 630**, Steinsalz, Gerstenmalzmehl**, Kümmel* geröstet und gemahlen.
Deko: ROGGENMEHL Typ 1150**.

Getreideanteil: 76% ROGGENMEHL Typ 1150, 20% DINKELMEHL Typ 630, 4% ROGGENVOLLKORN
QUID: 42% ROGGEN, 11% DINKEL
*aus kontrolliert ökologischer Erzeugung, **aus biodynamischer Erzeugung ",750 Gramm,täglich,"Brot, Backwaren & Aufstriche",Frisch aus dem Ofen,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Märkisches Landbrot demeter Märkische Kruste,"5,99€","Das rustikale Brot wurde nach alter handwerklicher Tradition direkt auf der Steinplatte gebacken. Die ausgesprochen lange Teigführung von ca. 17 Stunden macht das Mischbrot leicht und besonders schmackhaft. Die Röstaromen der ausgeprägten Kruste sowie die milde Säure unterstreichen den Charakter und machen die Märkische Kruste zu einem Genuss für jeden Anlass. , Märkisches Landbrot GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56918-markisches-landbrot-markisches-landbrot-demeter-ma/,https://bilder.kolonial.no/local_products/4c1de063-9f8d-42f0-8496-d037d45c7b25.jpg?auto=format&fit=max&w=450&s=359a033de892419f5c0f9b199e5ed101,1.40 g,6.70 g,4.70 g,1.70 g,42 g,0.20 g,1 g,881 kJ / 210 kcal,Bio-Produkt,"Märkisches Landbrot GmbH, Bergiusstraße 36, 12057 Berlin, Deutschland","ROGGENSAUERTEIG** (Lebensmittelwasser, ROGGENMEHL Type 1150**, ROGGENVOLLKORNSCHROT**, Sauerteigkulturen*), WEIZENMEHL Typ 1050**, Lebensmittelwasser, ROGGEN** gequetscht und gekocht, ROGGENMEHL Typ 1150**, RÖSTBROT**, Steinsalz.
Deko: ROGGENMEHL Typ 1150**

Getreidebestandteile: 50% WEIZENMEHL Typ 1050**, 34% ROGGENMEHL Typ 1150**, 16% ROGGENVOLLKORNSCHROT**
*aus kontrolliert ökologischer Erzeugung, **aus biodynamischer Erzeugung ",1000 Gramm,täglich,"Brot, Backwaren & Aufstriche",Frisch aus dem Ofen,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Dinkelbrot,"3,99€"," , Oda Germany GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56942-oda-bakery-dinkelbrot/,https://bilder.kolonial.no/local_products/cdf812b4-e09e-406d-a20e-cc90a5f86b01.jpg?auto=format&fit=max&w=1000&s=94f08386e6f3d11d8881e6e2ec4c0171,1.50 g,9.20 g,6.60 g,6.60 g,38.90 g,0.80 g,7.90 g,1156 kJ / 275 kcal,,"Oda Germany GmbH, Zeughofstraße 1f, 10997 Berlin, Deutschland","Wasser, 21% DINKELWEIZENVOLLKORNMEHL, 17% DINKELWEIZENVOLLKORNFLOCKEN, 9% Sonnenblumenkerne, 3% getrockneter DINKELWEIZENVOLLKORNSAUERTEIG, GERSTENMALZ, Traubenzucker, Kartoffelflocken, Zucker, Speisesalz, Verdickungsmittel Guarkernmehl, Joghurtpulver (MILCH), Fruktose, HÜHNEREIEIWEISSPULVER, Apfelfaser, Apfelpulver, Maismehl, Reismehl, Hefe, Säuerungsmittel Apfelsäure. 
Oblate: Stärke, Emulgator Lecithine, Farbstoff Eisenoxide und Eisenhydroxide, Säuerungsmittel Citronensäure.    

Das Produkt kann Spuren von Schalenfrüchten, Soja und Sesam enthalten. ",750 Gramm,täglich,"Brot, Backwaren & Aufstriche",Frisch aus dem Ofen,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Käfer-Ciabatta Tomaten und Bärlauch,"1,99€"," , Oda Germany GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56943-oda-bakery-kafer-ciabatta-tomaten-und-barlauch/,https://bilder.kolonial.no/local_products/7eaae220-6422-4e5c-b307-1ce629805c7e.png?auto=format&fit=max&w=911&s=0a816b27df0d055fb69140f68090b738,1.60 g,8.90 g,4 g,2.80 g,50 g,0.20 g,0.90 g,1069 kJ / 252 kcal,,"Oda Germany GmbH, Zeughofstraße 1f, 10997 Berlin, Deutschland","WEIZENMEHL, Wasser, Weizensauerteig (WEIZENMEHL, Wasser, ROGGENMEHL), HARTWEIZENGRIESS, 3% getrocknete Tomatenflocken, Hefe, Salz, 1% getrockneter Bärlauch, GERSTENMALZEXTRAKT, Traubenzucker, Rapsöl. Das Produkt kann Spuren von Milch, Eiern, Soja, Schalenfrüchten und Sesam enthalten. ",300 Gramm,täglich,"Brot, Backwaren & Aufstriche",Frisch aus dem Ofen,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Käfer-Ciabatta mit Oliven,"1,99€"," , Oda Germany GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56944-oda-bakery-kafer-ciabatta-mit-oliven/,https://bilder.kolonial.no/local_products/6e7fccf1-065e-4ec3-a3b0-edde86b1fa29.png?auto=format&fit=max&w=911&s=05a1a39ebb9a3cf531a5091a7008b512,2.40 g,8 g,3.90 g,1.30 g,47.60 g,0.50 g,2.40 g,1067 kJ / 252 kcal,,"Oda Germany GmbH, Zeughofstraße 1f, 10997 Berlin, Deutschland","WEIZENMEHL, Wasser, 11% schwarze Oliven, Weizensauerteig (WEIZENMEHL, Wasser, ROGGENMEHL), HARTWEIZENGRIESS, Salz, Hefe, GERSTENMALZEXTRAKT, natives Olivenöl extra, Traubenzucker, Rapsöl.

Das Produkt kann Spuren von Eiern, Milch, Schalenfrüchten, Sesam, Soja enthalten.",330 Gramm,täglich,"Brot, Backwaren & Aufstriche",Frisch aus dem Ofen,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Rustikales Krustenbrot,"2,69€"," , Oda Germany GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56945-oda-bakery-rustikales-krustenbrot/,https://bilder.kolonial.no/local_products/22ddd52b-8653-47b7-ae8e-03cd978aff48.jpg?auto=format&fit=max&w=1000&s=293cdbb7126d05ab33680922cee48852,1.30 g,6.80 g,,1.50 g,41.70 g,0.20 g,0.90 g,917 kJ / 217 kcal,,"Oda Germany GmbH, Zeughofstraße 1f, 10997 Berlin, Deutschland","Wasser, Naturroggensauerteig (ROGGENMEHL, Wasser), ROGGENMEHL, WEIZENMEHL, Salz, Hefe, WEIZENGLUTEN, Verdickungsmittel Guarkernmehl, GERSTENRÖSTMALZ. Das Produkt kann Spuren von Sesam und Schalenfrüchten enthalten. ",780 Gramm,täglich,"Brot, Backwaren & Aufstriche",Frisch aus dem Ofen,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sauerteigbrot,"2,79€"," , Oda Germany GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56946-oda-bakery-sauerteigbrot/,https://bilder.kolonial.no/local_products/5d735222-3eb1-4795-a079-24077614cb54.jpg?auto=format&fit=max&w=1000&s=dff0687936a7ee51a0f766283d624f7d,1.60 g,7.20 g,4.50 g,0.70 g,51.50 g,0.10 g,1 g,1067 kJ / 254 kcal,,"Oda Germany GmbH, Zeughofstraße 1f, 10997 Berlin, Deutschland","Wasser, 25% Roggensauerteig (57% ROGGENMEHL, Wasser), WEIZENMEHL, 16% ROGGENMEHL, Jodsalz, Hefe. Das Produkt kann Spuren von Milch, Sesam, Soja und Lupinen enthalten. ",430 Gramm,täglich,"Brot, Backwaren & Aufstriche",Frisch aus dem Ofen,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Mehrkornbrot,"2,49€"," , Oda Germany GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56948-oda-bakery-mehrkornbrot/,https://bilder.kolonial.no/local_products/b8dfe62c-fd9a-43c1-822c-77b300b7a364.jpg?auto=format&fit=max&w=1000&s=91778e2e5432fbf053310bf60cd8bfb7,1.18 g,7.90 g,8.50 g,0.70 g,34.70 g,0.50 g,4.70 g,966 kJ / 230 kcal,,"Oda Germany GmbH, Zeughofstraße 1f, 10997 Berlin, Deutschland","Wasser, 20 % Natursauerteig (59 % ROGGENMEHL, Wasser), 20 % WEIZENMEHL, 15 % ROGGENMEHL 5 % HAFERFLOCKEN, 3 % Sonnenblumenkerne, ROGGENSCHROT, 2 % Leinsamen, Hefe, Salz, WEIZENGLUTEN, Verdickungsmittel Guarkernmehl, GERSTENÖSTMALZ. Das Produkt kann Spuren von SESAM und SCHALENFRÜCHTEN enthalten. ",500 Gramm,täglich,"Brot, Backwaren & Aufstriche",Frisch aus dem Ofen,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Schokocreme Brötchen,"1,99€"," , Oda Germany GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56950-oda-backerei-schokocreme-brotchen/,https://bilder.kolonial.no/local_products/47f8200a-7d91-48f7-abf2-d0603cc4c213.jpg?auto=format&fit=max&w=1000&s=5dcc07ef13a4d6c20ca11ab436646ace,1 g,7.50 g,3 g,13.20 g,48.20 g,10 g,18.80 g,1667 kJ / 398 kcal,,"Oda Germany GmbH, Zeughofstraße 1f, 10997 Berlin, Deutschland","WEIZENMEHL, Wasser, 13% Butter (MILCH), Zucker, Schokocreme (Zucker, Palmfett, fettarmer Kakao, HASELNÜSSE, 5% Vollmilchschokolade (Zucker, VOLLMILCHPULVER, Kakaobutter, Kakaomasse), modifizierte Stärke, MANDELN, Emulgator SOJALECITHINE), modifizierte Stärke, Hefe, pasteurisiertes VOLLEI, VOLLMILCHPULVER, Salz, SÜSSMOLKENPULVER, WEIZENGLUTEN, Palmöl, WEIZENSTÄRKE, HÜHNEREIEIWEISSPULVER, Verdickungsmittel Natriumalginat, Traubenzucker, Glukosesirup, natürliches Aroma, WEIZENQUELLMEHL, Maisquellmehl, WEIZENMALZMEHL, Mehlbehandlungsmittel (Enzyme (Amylasen, Hemicellulasen), Ascorbinsäure), MILCHPROTEIN, Farbstoffe (Carotine, Riboflavin). ",190 Gramm,täglich,"Brot, Backwaren & Aufstriche",Frisch aus dem Ofen,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Berliner mit Mehrfruchtfüllung, gepudert","1,99€"," , Oda Germany GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56951-oda-backerei-berliner-mit-mehrfruchtfullung-gepude/,https://bilder.kolonial.no/local_products/4bfa25d1-3b89-4f86-b239-657aa1cb5018.jpg?auto=format&fit=max&w=1000&s=bc12795715a79c1b64151a6ce3275812,0.70 g,7.20 g,,14.10 g,46.80 g,7.20 g,16.40 g,1542 kJ / 368 kcal,,"Oda Germany GmbH, Zeughofstraße 1f, 10997 Berlin, Deutschland","WEIZENMEHL, 15% Mehrfruchtkonfitüre (Zucker, 35% Früchte* in veränderlichen Gewichtsanteilen (Äpfel, Erdbeeren, Himbeeren, Sauerkirschen), Glukosesirup, Wasser, Geliermittel Pektin, Säuerungsmittel Citronensäure; Festigungsmittel Calciumcitrate), Palmfett, pasteurisiertes VOLLEI, Hefe, 3% Dekorzucker (Traubenzucker, WEIZENSTÄRKE, Palmfett), Rapsöl, Wasser, Zucker, Süßmolkenpulver (MILCH), Salz, Emulgator Mono- und Diglyceride von Speisefettsäuren, Traubenzucker, HÜHNEREIEIWEISSPULVER. Das Produkt kann Spuren von Soja, Schalenfrüchten und Sesam enthalten. *Entspricht 5% Obst im Endprodukt. ",195 Gramm,täglich,"Brot, Backwaren & Aufstriche",Frisch aus dem Ofen,oda,Dieses Produkt wird aufgetaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Filly Berry Donut,"1,99€"," , Oda Germany GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56952-oda-backerei-filly-berry-donut/,https://bilder.kolonial.no/local_products/6675489a-f1da-4b42-bad0-a7e05b71fedd.jpg?auto=format&fit=max&w=1000&s=19050c4f31178cdf784b18e7b57a582f,0.60 g,4.90 g,,18 g,44 g,8.80 g,16 g,1450 kJ / 346 kcal,,"Oda Germany GmbH, Zeughofstraße 1f, 10997 Berlin, Deutschland","WEIZENMEHL, Waldbeerenfüllung 22,1% (Zucker, 16% Erdbeeren, 13% Blaubeeren, 12% Brombeeren, Wasser, 9% Himbeeren, modifizierte Stärke, Geliermittel Pektin, Säureregulator Citronensäure, Aroma, Konservierungsstoff Kaliumsorbat), Wasser, Palmöl, 7,4% Glasur (Zucker, pflanzliche Fette und Öle (Palmkernfett, Palmfett, Kokosöl), Emulgator Lecithine, färbende Pflanzenextrakte (Radieschen, Rote-Bete-Extrakt), Spirulinakonzentrat), 4,4% Waldbeerenstückchen (28,6% Früchte in veränderlichen Gewichtsanteilen (schwarze Johannisbeeren, Erdbeeren, Himbeeren), Zucker, WEIZENMEHL, Sonnenblumenöl), Margarine (Palmfett, Rapsöl, Wasser, Zitronensaft), Zucker, Hefe, Salz, Backtriebmittel (Kaliumtratrate, Natriumcarbonate), WEIZENGLUTEN, Traubenzucker, Mehlbehandlungsmittel Ascorbinsäure. Das Produkt kann Spuren von Milch, Schalenfrüchten enthalten. ",136 Gramm,täglich,"Brot, Backwaren & Aufstriche",Frisch aus dem Ofen,oda,Dieses Produkt wird aufgetaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Filly Chocolate Cream Donut,"1,99€"," , Oda Germany GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56953-oda-backerei-filly-chocolate-cream-donut/,https://bilder.kolonial.no/local_products/9aaffda2-e306-463f-bd2a-96f5d6e51ac8.jpg?auto=format&fit=max&w=1000&s=90aec1d644fbe23c48f8d4a45240c6b9,0.80 g,5.20 g,,23 g,50 g,10 g,22 g,1789 kJ / 428 kcal,,"Oda Germany GmbH, Zeughofstraße 1f, 10997 Berlin, Deutschland","WEIZENMEHL, 20% Kakaocreme (Zucker, pflanzliche Öle (Sonnenblume, Palm), fettarmer Kakao, MAGERMILCHPULVER, 4% Schokolade (Zucker, Kakaomasse, Kakaobutter), Emulgator Lecithine), Wasser, 9% kakaohaltige Fettglasur (Zucker, pflanzliche Fette (Palmkern, Palm), fettarmer Kakao, Emulgator Lecithine), Palmöl, 5% Milchschokoladenstreusel (Zucker, Kakaomasse, VOLLMILCHPULVER, fettarmes Kakaopulver, Kakaobutter, Emulgator Lecithine), Margarine (Palmfett, Wasser, Rapsöl, Zitronensaft), Zucker, Hefe, Salz, Emulgatoren (Mono und Diglyceride von Speisefettsäuren, Mono- und Diacetylweinsäureester von Mono- und Diglyceriden von Speisefettsäuren, Natriumstearoyl-2-lactylat), WEIZENGLUTEN, Backtriebmittel (Natriumcarbonate, Diphosphate), Traubenzucker, Stabilisator Guarkernmehl, Süßmolkenpulver (MILCH), LAKTOSE, Mehlbehandlungsmittel Ascorbinsäure. Das Produkt kann Spuren von Schalenfrüchten enthalten. ",154 Gramm,täglich,"Brot, Backwaren & Aufstriche",Frisch aus dem Ofen,oda,Dieses Produkt wird aufgetaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Buttercroissant,"1,99€"," , Oda Germany GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56955-oda-backerei-buttercroissant/,https://bilder.kolonial.no/local_products/e5424b99-2dfa-4ec3-837c-69a8dc590d62.jpg?auto=format&fit=max&w=1000&s=4fc95b33a95a33ea0eba046861267708,1.10 g,8.50 g,2.60 g,4.60 g,44 g,10.60 g,17.80 g,1572 kJ / 375 kcal,,"Oda Germany GmbH, Zeughofstraße 1f, 10997 Berlin, Deutschland","WEIZENMEHL, Wasser, 17 % Butter (MILCH), Zucker, Hefe, WEIZENGLUTEN, Salz, VOLLMILCHPULVER, Emulgatoren (Mono- und Diacetylweinsäureester von Mono- und Diglyceriden von Speisefettsäuren, Mono- und Diglyceride von Speisefettsäuren), MILCHPROTEIN, LAKTOSE, Traubenzucker, MAGERMILCHPULVER, Pflanzenfasern (Citrus), Mehlbehandlungsmittel (Ascorbinsäure, Enzyme (Amylasen, Xylanasen, Transglutaminasen)), Stabilisatoren (Carboxymethylcellulose, Xanthan). Das Produkt kann Spuren von Ei, Schalenfrüchten, Soja und Sesam enthalten. ",180 Gramm,täglich,"Brot, Backwaren & Aufstriche",Frisch aus dem Ofen,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Märkisches Landbrot demeter Roggenbrot,"5,49€","Ein deftiges Vollkornbrot aus hunder Prozent Roggenvollkornschrot mit leicht malzig-karamelligem Charakter. Das Interessante an diesem Brot mit der kräftigen Kruste und saftigen Krume ist die süßliche Note, die es durch den würzigen Roggen und die lange Backzeit erhält. , Märkisches Landbrot GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56914-markisches-landbrot-markisches-landbrot-demeter-ro/,https://bilder.kolonial.no/local_products/5d9ad358-22fd-4346-8331-9a7427f8150d.jpg?auto=format&fit=max&w=450&s=b0331f883b032133b14be463da5741cb,1.40 g,6.20 g,9 g,0.60 g,40 g,0.20 g,1.10 g,896 kJ / 215 kcal,Bio-Produkt,"Märkisches Landbrot GmbH, Bergiusstraße 36, 12057 Berlin, Deutschland","ROGGEN-Sauerteig** (Lebensmittelwasser, ROGGENVOLLKORNSCHROT**, Sauerteigkulturen*), ROGGENVOLLKORNSCHROT**, ROGGEVOLLKORNSCHROT** gebrüht, Lebensmittelwasser, Steinsalz. Deko: ROGGENVOLLKORNSCHROT**

Getreideanteil: 100% ROGGENVOLLKORNSCHROT**
QUID: 62% ROGGEN**
*aus kontrolliert ökologischer Erzeugung, **aus biodynamischer Erzeugung ",1000 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brot,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Märkisches Landbrot demeter Dinkel hell,"3,69€","Ein leichtes, mildes Bio-Hefebrot mit einer besonders aromatisch krossen Kruste und soften Krume, das sich durch eine lange Teigführung auszeichnet. Dieses Brot eignet sich bestens für süße und herzhafte Aufstriche sowie als Beilage zu Salaten, Suppen oder deftigen Speisen. , Märkisches Landbrot GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56915-markisches-landbrot-markisches-landbrot-demeter-di/,https://bilder.kolonial.no/local_products/d36cd94f-22e4-40a4-9098-f7e4895792b0.jpg?auto=format&fit=max&w=450&s=f2ab9412b172d8be55e106914b09be14,1.40 g,8.40 g,2.90 g,0.50 g,42 g,0.10 g,0.80 g,918 kJ / 220 kcal,Bio-Produkt,"Märkisches Landbrot GmbH, Bergiusstraße 36, 12057 Berlin, Deutschland","DINKELMEHL Typ 630**, Lebensmittelwasser, DINKELMEHL Typ 630** gebrüht, DINKELVOLLKORNSCHROT**, DINKEL-Backferment** [Lebensmittelwasser, DINKELMEHL Typ 630**, Backferment* [Maismehl*, Erbsenmehl*, Blütenhonig*], Honig*], , Hefe*, Steinsalz
Deko: DINKELMEHL Type 630**
Getreideanteile: 90 % DINKELMEHL Typ 630**, 10 % DINKELVOLLKORNSCHROT**
QUID: 80 % DINKEL**
*aus kontrolliert ökologischer Erzeugung, **aus biodynamischer Erzeugung ",375 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brot,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
